id,name,nationality,blurb
12,Chavo Bizarro,N/A,"Is an East Los Angeles born and based artist.
A technicolor Villain driven by anxiety to make art you secretly love but tell your friends “It’s alright, I guess”.
Inspired by the streets, the bauhaus, minimalism and punk rock. The dark themed outsider art of Chavo Bizarro now turns
to a different platform, bringing fresh outlook on traditional street art to the NFT realm."
13,Humberto Baca,Mexican,"Contemporary visual artist who knows how to express himself in different media: from graphic experimentation to painting and sculpture, fully influenced by his studies and experiences in philosophy and dance.His work is recognized nationally and internationally, as well as his management, promotion and support projects for the arts in Guadalajara, the city where he has worked and lived for decades... "
14,Gaspar Gombos,Hungarian,"Concept artist, Studio Lead at Pixoloid Studios

He
is creating concepts, storyboards and illustrations for various
clients for 15+ years. Beside his broad experience in the advertising
industry as an art director at leading international agencies, he is
teaching visual communication, concept art at Budapest based design
universities.
He
co-founded Pixoloid Studios where he is leading and art directing the
in-house artists. He worked in the preproduction of several TV shows,
animation shorts, in-game-cinematics and feature films for various
clients like Netflix, Paramount, HBO...He also worked in Love, Death
and Robots (Tim Miller’s animation short fro Netflix), Rainbow Six
Siege, The Alienist, Shadow and Bone,The Wither, Jack Ryan to name a
few."
15,Janos Gardos,N/A,"Senior
concept artist at Pixoloid Studios

Started
his career at Digital Reality as a concept artist working on the game
classic Imperium Galactica amongst many other pitch and development
projects of the company. After that he moved towards the fast growing
mobile market and joined Pixel Perfect Games as a senior concept
artist and illustrator. He joined the studio in 2018 and responsible
for key environment and set designs for films and detailed key
illustrations for game projects."
16,Zsolt Szabados,N/A,"Concept
artist at Pixoloid Studios
He
started his career as a 3d generalist creating detailed models and
textures
for
online multiplayer games. His passion about creating illustrations
and
concepts
quickly became his dayjob, when he became a concept artist at Zu
Digital
Games. He joined the studio in 2018 and mainly works on detailed
2d/3d
prop
designs and also creates detailed mechanical and keyframe
illustrations."
17,ARC,Saudi Arabia,"He makes 3D art, loops & simulations with the simple goal of giving you something pleasing to look at for a few seconds. If you have any questions, feel free to message him on Twitter or Instagram @arc4g"
18,Jakub Spacek,London,FX Designer and his passion is to create beautiful and pleasing visual effects that artistically represent abstract real world phenomenon. Working with simulations and procedural workflow is his key approach to creating astonishing art pieces.
19,Freddie Mendoza,Mexican-American,"Mexican-American artist from Bell Gardens Ca, Alfredo Mendoza is a one-of-a-kind artist inspired by Comics and children’s books. He enjoys creating art especially with chalk, pencil, and markers and has recently found interest in drawing portraits and recreating them into cartoons."
20,BeJaDo,USA,"A Rhode Island native, BeJaDo is a digital artist and designer. From crayons, to class artist, to a Bachelor of Fine Arts from the University of Rhode Island, his passion in life is to create.
As an artist, he is always exploring and evolving styles and techniques, drawing his inspiration from moments in his life, and those in it.
As a graphic designer he has worked with companies and brands that include Marvel, Disney, NFL, MLB, Warner Bros. and more."
21,Balkan Karisman,Turkish,"Karisman is a generative artist with a CG background who has been feeding himself with urban culture, glitch art, and futurism. He tries to challenge the mediums to meet analog and cyber, past and future, real and surreal. He believes that every asset around is natural, and already is a muse as well as an instrument to create. In his works, he asks the what-if questions about life and surroundings."
22,ORDO,UK,MM has been focusing on Abstract/Psychedelic art for over a decade. He is the founder of ORDO. A personal project that seeks to merge the blockchain world with the art world.
24,Santiago Uceda,USA,"Santiago Uceda was born in Lima, Peru, made his way to sunny So Cal and now resides in Eugene, OR. He is an illustrator and motion graphics artist and has worked with many talented folks and institutions from global brands to non-profits, magazines, bands and private commissions. His work has been recognized by American Illustration, Latin American Illustración & International Motion Arts Awards."
25,Juri Koll,USA,"As Founder and Director of the Venice Institute of Contemporary Art (ViCA) since 2011, Juri Koll curates and presents exhibits at museums, galleries and fairs in the U.S. and abroad, such art the Chabot Museum in Rotterdam, Netherlands and the Wilhelm Morgner Haus Museum in Germany, and the Long Beach Museum of Art Annex, the Torrance Art Museum, and the Museum of Art and History, and OCCCA, Photo LA, Art Palm Springs, the LA Art Show, Gallery 825, TAG, and Muzeumm Gallery. ViCA’s gallery is located in downtown Los Angeles. He has written about art for publications such as the New York Times, the Huff Post, and FABRIK. Juri Koll was born in San Francisco in 1961. He actively sought out important artists as part of his studies, including photographer Edmund Teske, and began exhibiting his work at an early age. After classical and film studies at UC San Diego with filmmakers such as Jean-Pierre Gorin and photographer Fred Lonidier, he received his BFA from California Institute of the Arts in 1984, where he was mentored by Jo Ann Callis and John Divola among many others. Koll has exhibited his work at Photo LA, Cameravision, Muzeumm, Temporary Space LA, LA Louver, California Institute of the Arts, UC, San Diego, the Xenodrome in San Francisco, the Mike Kelley Gallery at Beyond Baroque Literary Art Center, Art Share LA, the Gabba Gallery, the Porch Gallery, the Torrance Art Museum and the Museum of Art and History in Lancaster, California among many others. He has taught fresco technique at the J. Paul Getty Villa, and has taught art at Brooks College and film at the Academy of Art University in San Francisco. He is a member of the Directors Guild of America. HIs feature narratives have appeared in over 70 film festivals. Recently he directed his first feature, a female driven murder mystery called Jackson’s Hole. He is the Director of the Fine Arts Film Festival, in its 8th year, which features art films and films on the art world from across the globe. He has produced and directed notable art world documentaries and worked with major museums and galleries, such as the Metropolitan Museum of Art, The National Gallery in Washington, D.C., the Los Angeles County Museum of Art, and the Museum of Modern Art in San Francisco. His work appears in universities, galleries and museum collections including the Archives of American Art at the Smithsonian Institution in Washington, DC, The University of New Mexico Art Museum, Brown University, College of DuPage Library, Corvallis Public Library, McAlester College, and Trinity University."
26,Janne,Germany,"Janne is digital artist and painter based in the Lindau District of Bavaria, Germany. He creates animated collages in which the physical is mixed with digital to create his unique style of fictional digital realism. From this, new poetic worlds arise in which one does not know exactly whether they are real or not. Feel free to message him on twitter: @janne_limited"
27,Maaham Nasir,UK,"A multi-disciplinary British born artist, a graduate from Manchester School of Arts. Her work is inspired by natural, mythical and fantasy styles and ranges in photography, 3D design, typography and digital art. By incorporating natural elements to her work she is able to bring life to her characters to express stories, movements and faith. She has been featured in multiple galleries and is a verified NFT artist on KnownOrigin and SignArt."
28,Carlos Alcocer,Mexican,"Carlos Alcocer is an architect by profession and a aerial photographer by passion. Obsessed with the ¨Calaverita¨ culture, also known as Sugar Skull, set himself a goal of illustrating one skull per day at the start of the pandemic. At the same time he has taken advantage of this time to experiment with aerial photography and long exposure. This technique involves capturing light while the cameras´s shutter is open for a long time allowing him to “Paint with light”."
29,Archangel,India,"Hey , I’m Archangel , an abstract artist with strong affinity to hyper surrealism and occultism. I've been making digital artworks for 2 years with special focus on sculpting occult abstracts since October 2020 , mostly specializing in gothic and dark themes . Drawing inspirations from the big names in the field of occult art like NekroXIII and Andrea Rios , I try to simulate emotions in the form of dark , and derelict artworks , and show them in material ."
33,Edvin Avdagic,Norwegian,"A Norwegian designer that likes to create, preferably something that looks interesting."
34,Chris Lambeth,USA,"Creative Director at BOLD. Motion designer, CG Generalist, and all-around nerd working in the commercial product trailer and image space. 10 Year fashion and commercial photography background."
35,Anthony D’Onofrio,USA,"Anthony D’Onofrio, better known as ""Texture"", was one of the founding members of ethereum."
37,Coran Stone,USA,Coran Kizer Stone. From 9 to 5 to professional in the animation industry.
38,Daniel Poynton,UK,N/A
39,Jordan Wright,USA,"Jordan Taylor Wright, founder of Taylor Cut Films, is a creative director and filmmaker based out of Los Angeles, California. Taylor Cut Films is a production company/creative agency specializing in music videos, commercials, films, and social media strategy. Over a 10 year span Taylor Cut Films has worked and created original content for artists such as Usher, Justin Bieber, Jennifer Lopez, and The Chainsmokers, all while gaining an influential presence and following on social media."
40,Marina Choy,USA,Portland via Bay Area Photo - Illustration - AD www.marinachoy.com
41,Mihaly Szemeti (LEON),Hungarian,"Mihály Szemeti started painting on the Commodore 64 using the nickname Leon. First it was only a pointless hobby, but later he met the demo scen group Singular Crew at a local C64 related club and around 1997 they introduced Leon's works to the Commodore 64 Demoscene. Works were rewarded at different national and international competitions, including Germany, Slovakia or the Netherlands. Over the years he also joined the wellknown C64 demogroups called ""Resource"" and ""Chorus"". They are still active members of the demoscene community and helped to Leon to participating in multiple demoscene projects. So far Leon is actively painting for over 20 years and hope it continues uninterrupted in the future. His works was mentioned in the definitive collector's book ""Masters of Pixel"" Vol.2."
42,Grace Duong,USA,"Grace Duong is the artist, author, & founder of Mystic Mondays, a series of best-selling Tarot & Oracle decks and the popular Mystic Mondays App. Download the app to draw your card of the day, craft daily rituals, & connect to your intuition so that you can show up in the world as your most empowered and authentic self.
<br><br>
Follow on Instagram:<br>
@mysticmondays<br>
@grace.duong<br>
Download the ""Mystic Mondays App on iOs and Android""<br>
 <a href=""https://apple.co/2NpxgU2"">Apple Store</a><br>
<a href=""http://bit.ly/3bSPxTk"">Google Play Store</a>"
43,Jason Ting,USA,"Jason Ting uses code to create abstract animated visuals that explore the interaction of form, color, and motion. His work is inspired by forces found in nature, geometric patterns, and light."
44,Eskalexia Bawks,Austria,"Eskalexia is a designer, developer, actress, and writer. She works with various methods of creation, from analog painting, machine-human-collaborative generative design, parametric destruction, glitch art, interactive media, neural networks, and evolutionary algorithms. From time to time she can be seen outside, feeding ducks."
45,Peach Quintana,USA,"Peach Quintana is an artist based in Los Angeles, CA. As a painter, illustrator, graphic designer, and musician, Peach works in an expressionistic nature and builds off of that initial spark of inspiration from who-knows-where. Unafraid of the uncanny and absurd, Quintana also explores themes of liveliness, color, friendship, and himYou can find his work at peachquintana.com and on instagram/twitter: @peachquintana."
46,Agnes Szabo,Hungarian,"Agnes Szabo is a polymer clay artist living in Budapest/Hungary and creating mesmerizing polymer clay creations as book covers, framed pictures, jewelry and magical pendants using the nicest half gems of the world by hand. Her nickname is Dalena and you can reach her portfolio under the name ""Necromantika"" in social media. Agnes is working like a dedicated multimodal art therapist and takes inspiration of the mystical vibe of the universe."
47,Bazso Lossonczy,Hungarian,"Bazsó Lossonczy was born in 1985 and live and creating in Budapest.  Working as a freelancer graphic artist and illustrator creating album cover arts, boardgame design and illustration, character design, layout design, concept arts, social media ads, and several other form of visual creative jobs."
48,Kris Vango,Germany,"I am a Berlin-based Australian artist exploring themes of gender, politics, symbolism, occultism and metaphysics via the planets of our solar system through soundscape. My manifesto is to document each planetary body as an independent concept piece, with each planetary release joining to the last - exploring each planet’s mythological themes and symbolism in relation to current political and social issues, a concept opus that harnesses the power of sound within philosophy, alchemy and healing. I believe we exist online in an environment where the possibilities of art and music are now boundless, no longer are we limited by releases with physical time limits and specific formats - we can now express music in whatever format we like. It is confusing that we still adhere to these formats and have created structures (i-tunes, band camp, spotify) that deviate little from consumer expectations of genres, singles, or albums and that we rarely play with to reflect more conceptual ideas. Add on top of this increasing online institutions are trapping creators into more limiting release models, schedules and modes of expression. My frustration with this growing homogeny birthed the idea to combine my studies in the artistic disciplines of visual and sound art, with an obsession in consciousness, mythology, cosmic sciences and our collective wonder at why we are here. Inside our mind is a vivid imagination which we can access and use to explore the cosmos, it is this imagination that I encourage you, reading this, to access - to take you, my dear listener, on a journey to these alien worlds and (hopefully) consciously feel their presence and vibrations. You have your own unique and special experience with this, I hope I can guide you to this through my own. These artworks are original pieces, of my own interpretation of moon sign placements, using the power of logos to invoke mythos."
49,Mikey Woodbridge,Germany,"Originally from Stockton, Australia, MIKEY. is a Berlin-based visual artist, musician and performer. His performance career began in 2012 with Sink The Pink London, the most celebrated drag collective in the UK. In 2017, he moved to Berlin to pursue music and visual art. His albums include Paths (2018), Pearl (2019) and Tranceformer (2020). As a musician, he has performed at venues including Berghain Cantina, the Glastonbury Festival and at SO36. He has recently begun showing his visual works and is currently Artist in Residence at The Ballery Berlin. These 3 artworks are part of an experimental crypto-microcosm called Queertheorym, which is designed to live on the Ether.Cards platform. As the platform grows, Queertheorym will feature further Berlin queer artists and will experiment with giving NFTs performative features in the physical world by utilizing Ether.Cards traits."
50,Shelby Knick,USA,TBD
53,Chissweetart,USA,"New to the NFT Art world. I've been a Graphic Artist, Photo Manipulator, Photographer, Painter, and sketch artist since I was very young. All my art is individual, unique, dark and surreal. I take pride in my work and I hope you all will enjoy what I make. 
<br><br>Website: <a href=""https://www.artstation.com/chissweetart"">Aelise Davis</a>
<br>Interviews: <a href=""https://www.nftculture.com/nft-artist-interviews/nft-artist-interview-chissweetart/"">Nft Artist Interview Chissweetart</a>
<br><a href=""https://www.youtube.com/watch?v=bRVYfRORPNA"">REVOBIT: Art Demo, Auction, & Chissweetart's Bleeding Heart Series
</a> 
<br><br>Articles: <a href=""https://dexplain.com/just-take-the-profit/"">Just Take The Profit</a> 
<br>Commissions: WIP 
<br>Collaborations: WIP"
54,255 SAT,Brazil,"255SATURATION IS AN ANONIMOUS ARTIST, BEING ONE OF THE PIONEEERS IN INTERACTIVE AND WEB-ART. THEIR SATURATED VIVID WORKS GAVE THEM THE NAME."
55,H.Y. Choi,USA,Choi is a visual artist based in the USA. He paints with light using long exposure photography shooting. This artistic technique involves capturing light while the camera's shutter is open allowing him to compose unique and vibrant light paintings. The focus of his work often depicts lucid dreams - transportation of one's consciousness from one dream to another.
56,Chase Guttman,USA,"Chase Guttman is an award-winning travel photographer, drone videographer, author, writer, lecturer, instructor and social media influencer. Three-time recipient and first American to win Young Travel Photographer of the Year, a prestigious international competition judged by museum curators and magazine editors, Guttman was named a World’s Top Travel Photographer by Condé Nast Traveler, a Rising Star by Instagram and won the Walter Cronkite Award for Excellence in Storytelling and Exploration—a lifetime achievement level honor. His book, The Handbook of Drone Photography, was one of the first written on the topic and received critical acclaim from publications such as Travel + Leisure, The Telegraph, Business Insider, The Daily Mail and the New York Post, among others."
57,Pix3lface,USA,"A graduate of Cal Arts, Pix3lface is a purveyor of glitch and internet art. He has spent the last six years creating tour visuals and animation VFX for some of the biggest artists and brands on the planet. Working with artists like Calvin Harris, Jack U, Skrillex, RL Grime, Boys Noize, A$AP Rocky and more, Pix3lface’s visuals have headlined sets from Coachella and EDC to sold-out shows at Madison Square Garden. A strong collaborator, his animation work has been featured on projects for Versace, Nike x Riccardo Tisci, MTV, Nike’s iconic glitch commercials for Finish Line, and more, as well as making countless music videos for Travis Barker, Steve Aoki, Dani Leigh, and the who’s who of pop arts. Chances are you've already seen Pix3lface's work."
58,"Switzon S. Wigfall, III",USA,"Switzon S. Wigfall III or ""SSWIII"" (pronounced ""S-S-W-3"") is a Los Angeles, California based motion graphic designer / cgi artist who does a variety of digital artwork including everydays, short films, creative commons visuals (vj-loops. His main goal and practice is constantly getting better creating daily renders working in Cinema 4D / Octane, After-Effects and Photoshop. He is heavily influenced and inspired by artists like: Beeple, GMUNK, Joshua Davis to name a few) using music and sound as the driving force of his work creating concepts built around: abstract art, sci-fi, surrealism, memes and more. He also vj's and plays his own beats to his visuals in an A/V setting all at the same time in VDMX and Ableton. He has made alot of custom visual content for alot of music acts from: Skrillex, Steve Aoki, Kaytranada and so many more."
60,Jonas Never,USA,"Jonas Never, a Los Angeles native, has taken a unique path from relief pitcher to muralist. Once his baseball career ended, he stayed involved with sports by painting large-scale, realistic murals of his favorite players and teams. Growing up in the heart of screenland has also influenced his murals, and they feature many of the movies and shows filmed in Southern California.
<br><br>
Follow on Instagram:<br>
@never1959"
62,Daniel Quintana,USA,LA-based multi-media artist and designer.
63,Dean Krupka,USA,"The artist and animator, Dean Krupka, is known for his animation and directorial work in music videos for musicians including The Score and Labrinth, as well as his illustration work on the TB Times for American football player, Tom Brady."
64,Florent Zunino,France,Motion Art Director & Visual Artist | Paris |
65,Nusi Quero,USA,"Nusi Quero is a multi-disciplinary artist and designer based in Los Angeles. The work of Nusi Quero explores themes of complexity, language, ornament and enigma. He is currently creating a collection of couture, as well as experiences, environments, and curiosities, both virtual and visceral."
66,Jay Defoy,USA,"Jay A. DeFoy is a wandering freelance artist. He got his start in Independent comic books, but over the years has moved to oil painting, travel art, game design, and  sculpture."
67,Leo Mateus,Canada,"Leo Mateus is a Digital Artist, Illustrator and Content Creator under the name Ghost Paper. Using the language of geometry as a foundation for his art, Leo uses shapes, lines and angles together with bold colours, in order to create futuristic moments that are frozen in time. On Youtube, Leo has a 75k + channel also under the name Ghost Paper, helping other felow artists to learn and work with Digital Illustration."
68,Dave Krugman,USA,"Dave Krugman is a photographer, crypto artist, writer, and the founder of ALLSHIPS.CO, a creative community. You can find his whole ecosystem of creative work via davekrugman.com."
69,Aditya Sahay,India,"I am new to the NFT world and have been doing digital artworks as a hobby. Most of my artworks are influenced by sci-fi, surreal and video games. I am heavily inspired by artists such as Beeple , Stuz0r to name a few. I am also pursing bachelor's in Biotechnology."
70,Adam Marton,Hungarian,N/A
71,Agnes Halasz Geczi,Hungarian,N/A
72,Trenton McNelly,USA,Head to https://www.watts-and-oscillation-works.com/ to learn the story behind Watts Happening and The Watt man
73,Vizie,USA,"Originally from Houston, Texas, Vizie began pursuing art at an early age, quickly becoming focused primarily on graffiti. Along with his brother Nekst, Vizie helped the Houston graffiti scene to come to prominence during the late 90’s and 2000's. Beyond Texas, his inspired and innovative work in both the arts and graffiti has taken him to many U.S. and international cities. He made his mark with long stops in cities like Kansas City, San Francisco, Oakland, and Chicago, eventually landing in New York where he has lived and worked for the past 12 years. In addition to his graffiti career, Vizie explored a fine art practice. Through printmaking, photography, illustration and painting, he honed his skills in both the conceptual and the practical application of his work. His vision has found its expression in a wide range of projects from zines, to large-scale mural projects, as well as commercial work."
74,Ethercats,N/A,N/A
